advmod(Monday-7, No-1)
nn(systems-27, computer-26)
conj(exchanges-17, systems-27)
punct(makes-2, .-28)

dep(scheduled-5, Tomorrow-1)
det(company-3, the-2)
nsubjpass(scheduled-5, company-3)
auxpass(scheduled-5, is-4)
root(ROOT-0, scheduled-5)
aux(announce-7, to-6)
xcomp(scheduled-5, announce-7)
poss(computer-11, its-8)
dep(powerful-10, most-9)
amod(computer-11, powerful-10)
dobj(announce-7, computer-11)
advmod(computer-11, ever-12)
punct(computer-11, ,-13)
dep(bring-20, which-14)
prep(bring-20, for-15)
det(time-18, the-16)
amod(time-18, first-17)
pobj(for-15, time-18)
aux(bring-20, will-19)
dep(computer-11, bring-20)
dep(bring-20, it-21)
prep(bring-20, into-22)
amod(competition-24, direct-23)
pobj(into-22, competition-24)
prep(competition-24, with-25)
pobj(with-25, makers-26)
prep(makers-26, of-27)
amod(computers-29, mainframe-28)
pobj(of-27, computers-29)
punct(scheduled-5, .-30)

poss(computer-5, Tandem-1)
possessive(Tandem-1, 's-2)
amod(computer-5, new-3)
amod(computer-5, high-end-4)
nsubjpass(called-7, computer-5)
auxpass(called-7, is-6)
root(ROOT-0, called-7)
dep(called-7, Cyclone-8)
punct(called-7, .-9)

nsubj($-18, Prices-1)
prep(Prices-1, for-2)
det(machine-4, the-3)
pobj(for-2, machine-4)
punct(machine-4, ,-5)
dep(come-8, which-6)
aux(come-8, can-7)
dep(machine-4, come-8)
prep(come-8, in-9)
amod(configurations-11, various-10)
pobj(in-9, configurations-11)
punct(machine-4, ,-12)
cop($-18, are-13)
dep($-18, $-14)
number($-18, 2-15)
number($-18, million-16)
dep($-18, to-17)
root(ROOT-0, $-18)
number(million-20, 10-19)
num($-18, million-20)
punct($-18, .-21)

dep(expect-2, Analysts-1)
root(ROOT-0, expect-2)
det(computer-5, the-3)
amod(computer-5, new-4)
dobj(expect-2, computer-5)
aux(wrest-7, to-6)
xcomp(expect-2, wrest-7)
det(slice-10, a-8)
amod(slice-10, hefty-9)
dobj(wrest-7, slice-10)
prep(slice-10, of-11)
dep(of-11, business-12)
advmod(wrest-7, away-13)
prep(away-13, from-14)
pobj(from-14, IBM-15)
punct(IBM-15, ,-16)
det(leader-19, the-17)
amod(leader-19, longtime-18)
dep(IBM-15, leader-19)
prep(leader-19, in-20)
dep(in-20, mainframes-21)
punct(expect-2, .-22)

punct(said-22, ``-1)
dep(believe-3, We-2)
ccomp(said-22, believe-3)
dep(siphon-6, they-4)
aux(siphon-6, could-5)
ccomp(believe-3, siphon-6)
quantmod(billion-11, perhaps-7)
number(billion-11, two-8)
dep(billion-11, to-9)
number(billion-11, three-10)
num(dollars-12, billion-11)
dobj(siphon-6, dollars-12)
prep(siphon-6, from-13)
dep(from-13, IBM-14)
punct(siphon-6, ''-15)
prep(siphon-6, over-16)
det(years-20, the-17)
amod(years-20, next-18)
amod(years-20, few-19)
pobj(over-16, years-20)
punct(said-22, ,-21)
root(ROOT-0, said-22)
nn(Weiss-24, George-23)
dep(said-22, Weiss-24)
punct(Weiss-24, ,-25)
det(analyst-27, an-26)
appos(Weiss-24, analyst-27)
prep(analyst-27, at-28)
det(group-31, the-29)
amod(group-31, Gartner-30)
pobj(at-28, group-31)
punct(said-22, .-32)

dep(spur-3, That-1)
aux(spur-3, will-2)
root(ROOT-0, spur-3)
poss(growth-6, Tandem-4)
possessive(Tandem-4, 's-5)
dobj(spur-3, growth-6)
punct(spur-3, .-7)

punct(said-19, ``-1)
dep(be-4, I-2)
aux(be-4, 'd-3)
ccomp(said-19, be-4)
dep(be-4, disappointed-5)
mark(grew-9, if-6)
det(company-8, the-7)
nsubj(grew-9, company-8)
advcl(be-4, grew-9)
prep(grew-9, by-10)
mwe(than-12, less-11)
quantmod(20-13, than-12)
num(%-14, 20-13)
pobj(by-10, %-14)
amod(year-16, next-15)
tmod(grew-9, year-16)
punct(said-19, ,-17)
punct(said-19, ''-18)
root(ROOT-0, said-19)
nn(Levinson-21, John-20)
nsubj(said-19, Levinson-21)
punct(Levinson-21, ,-22)
det(analyst-24, an-23)
appos(Levinson-21, analyst-24)
prep(analyst-24, at-25)
pobj(at-25, Goldman-26)
punct(Goldman-26, ,-27)
conj(Goldman-26, Sachs-28)
cc(Goldman-26, &-29)
conj(Goldman-26, Co-30)
punct(said-19, .-31)

dep(expected-3, IBM-1)
auxpass(expected-3, is-2)
root(ROOT-0, expected-3)
aux(respond-5, to-4)
xcomp(expected-3, respond-5)
prep(respond-5, to-6)
poss(Cyclone-9, Tandem-7)
possessive(Tandem-7, 's-8)
pobj(to-6, Cyclone-9)
prep(respond-5, by-10)
pcomp(by-10, discounting-11)
poss(mainframes-14, its-12)
amod(mainframes-14, own-13)
dobj(discounting-11, mainframes-14)
punct(mainframes-14, ,-15)
dep(say-18, which-16)
dep(say-18, analysts-17)
dep(expected-3, say-18)
cop(price-24, are-19)
quantmod(times-22, roughly-20)
number(times-22, three-21)
num(price-24, times-22)
det(price-24, the-23)
ccomp(say-18, price-24)
prep(price-24, of-25)
det(system-28, a-26)
amod(system-28, comparable-27)
pobj(of-25, system-28)
prep(system-28, from-29)
dep(from-29, Tandem-30)
punct(expected-3, .-31)

punct(said-13, ``-1)
advmod(give-5, Obviously-2)
dep(give-5, IBM-3)
aux(give-5, can-4)
ccomp(said-13, give-5)
amod(discounts-7, bigger-6)
dobj(give-5, discounts-7)
prep(give-5, to-8)
dep(to-8, users-9)
advmod(give-5, immediately-10)
punct(said-13, ,-11)
punct(said-13, ''-12)
root(ROOT-0, said-13)
nn(Weiss-15, Mr.-14)
nsubj(said-13, Weiss-15)
punct(said-13, .-16)

cc(questions-4, But-1)
nn(Treybig-3, Mr.-2)
nsubj(questions-4, Treybig-3)
root(ROOT-0, questions-4)
mark(enough-9, whether-5)
dep(enough-9, that-6)
aux(enough-9, will-7)
cop(enough-9, be-8)
ccomp(questions-4, enough-9)
aux(stop-11, to-10)
xcomp(enough-9, stop-11)
poss(mainframe-15, Tandem-12)
possessive(Tandem-12, 's-13)
amod(mainframe-15, first-14)
dobj(stop-11, mainframe-15)
prep(stop-11, from-16)
pcomp(from-16, taking-17)
dep(taking-17, on-18)
dobj(taking-17, some-19)
prep(some-19, of-20)
det(functions-22, the-21)
pobj(of-20, functions-22)
dep(sought-27, that-23)
amod(organizations-25, large-24)
nsubj(sought-27, organizations-25)
advmod(sought-27, previously-26)
rcmod(functions-22, sought-27)
prep(sought-27, from-28)
nn(Blue-30, Big-29)
poss(machines-32, Blue-30)
possessive(Blue-30, 's-31)
pobj(from-28, machines-32)
punct(questions-4, .-33)

punct(said-15, ``-1)
det(answer-3, The-2)
nsubj(reductions-7, answer-3)
cop(reductions-7, is-4)
neg(reductions-7, n't-5)
nn(reductions-7, price-6)
ccomp(said-15, reductions-7)
punct(reductions-7, ,-8)
cc(reductions-7, but-9)
amod(systems-11, new-10)
conj(reductions-7, systems-11)
punct(said-15, ,-12)
punct(said-15, ''-13)
dep(said-15, he-14)
root(ROOT-0, said-15)
punct(said-15, .-16)

advmod(faces-4, Nevertheless-1)
punct(faces-4, ,-2)
dep(faces-4, Tandem-3)
root(ROOT-0, faces-4)
det(variety-6, a-5)
dobj(faces-4, variety-6)
prep(variety-6, of-7)
pobj(of-7, challenges-8)
punct(challenges-8, ,-9)
det(biggest-11, the-10)
nsubj(being-12, biggest-11)
dep(challenges-8, being-12)
mark(view-16, that-13)
dep(view-16, customers-14)
advmod(view-16, generally-15)
ccomp(being-12, view-16)
det(company-18, the-17)
poss(computers-20, company-18)
possessive(company-18, 's-19)
dobj(view-16, computers-20)
prep(view-16, as-21)
pobj(as-21, complementary-22)
prep(complementary-22, to-23)
poss(mainframes-26, IBM-24)
possessive(IBM-24, 's-25)
pobj(to-23, mainframes-26)
punct(faces-4, .-27)

advmod(Treybig-3, Even-1)
nn(Treybig-3, Mr.-2)
nsubj(reluctant-5, Treybig-3)
cop(reluctant-5, is-4)
root(ROOT-0, reluctant-5)
aux(abandon-7, to-6)
xcomp(reluctant-5, abandon-7)
det(notion-9, this-8)
dobj(abandon-7, notion-9)
punct(reluctant-5, ,-10)
xcomp(reluctant-5, insisting-11)
mark(replacements-19, that-12)
poss(machines-16, Tandem-13)
possessive(Tandem-13, 's-14)
amod(machines-16, new-15)
nsubj(replacements-19, machines-16)
cop(replacements-19, are-17)
neg(replacements-19, n't-18)
ccomp(insisting-11, replacements-19)
prep(replacements-19, for-20)
poss(mainframes-23, IBM-21)
possessive(IBM-21, 's-22)
pobj(for-20, mainframes-23)
punct(reluctant-5, .-24)

punct(said-12, ``-1)
dep('re-3, We-2)
ccomp(said-12, 're-3)
prep('re-3, after-4)
det(niche-8, a-5)
amod(niche-8, little-6)
dep(little-6, bigger-7)
pobj(after-4, niche-8)
punct(said-12, ,-9)
punct(said-12, ''-10)
dep(said-12, he-11)
root(ROOT-0, said-12)
punct(said-12, .-13)

aux(jump-3, Do-1)
neg(jump-3, n't-2)
root(ROOT-0, jump-3)
advmod(jump-3, yet-4)
punct(jump-3, .-5)

det(market-3, The-1)
nn(market-3, stock-2)
poss(swoon-5, market-3)
possessive(market-3, 's-4)
nsubj(turn-7, swoon-5)
aux(turn-7, may-6)
root(ROOT-0, turn-7)
dep(turn-7, out-8)
aux(news-12, to-9)
cop(news-12, be-10)
amod(news-12, good-11)
xcomp(turn-7, news-12)
prep(news-12, for-13)
det(economy-15, the-14)
pobj(for-13, economy-15)
punct(turn-7, .-16)

prep(managed-10, In-1)
num(hour-4, one-2)
amod(hour-4, wild-3)
pobj(In-1, hour-4)
prep(hour-4, of-5)
dep(of-5, trading-6)
punct(managed-10, ,-7)
det(market-9, the-8)
nsubj(managed-10, market-9)
root(ROOT-0, managed-10)
aux(accomplish-12, to-11)
xcomp(managed-10, accomplish-12)
dobj(do-21, what-13)
det(administration-16, the-14)
nn(administration-16, Bush-15)
nsubj(trying-19, administration-16)
aux(trying-19, has-17)
aux(trying-19, been-18)
ccomp(accomplish-12, trying-19)
aux(do-21, to-20)
xcomp(trying-19, do-21)
punct(trying-19, ,-22)
advmod(trying-19, unsuccessfully-23)
punct(trying-19, ,-24)
prep(trying-19, for-25)
dep(for-25, weeks-26)
punct(managed-10, .-27)

dep(forcing-3, It-1)
aux(forcing-3, is-2)
root(ROOT-0, forcing-3)
det(Reserve-6, the-4)
nn(Reserve-6, Federal-5)
dobj(forcing-3, Reserve-6)
aux(ease-8, to-7)
xcomp(forcing-3, ease-8)
poss(grip-10, its-9)
dobj(ease-8, grip-10)
prep(grip-10, on-11)
dep(on-11, credit-12)
cc(forcing-3, and-13)
dep(took-15, it-14)
conj(forcing-3, took-15)
det(wind-17, the-16)
dobj(took-15, wind-17)
advmod(took-15, out-18)
prep(out-18, of-19)
det(dollar-23, a-20)
advmod(irrepressible-22, previously-21)
amod(dollar-23, irrepressible-22)
pobj(of-19, dollar-23)
punct(forcing-3, .-24)

det(decline-3, The-1)
amod(decline-3, resulting-2)
nsubj(reinvigorate-14, decline-3)
prep(decline-3, in-4)
nn(rates-6, interest-5)
pobj(in-4, rates-6)
cc(rates-6, and-7)
det(value-9, the-8)
conj(rates-6, value-9)
prep(value-9, of-10)
det(dollar-12, the-11)
pobj(of-10, dollar-12)
aux(reinvigorate-14, could-13)
root(ROOT-0, reinvigorate-14)
amod(business-16, American-15)
dobj(reinvigorate-14, business-16)
punct(business-16, ---17)
advmod(business-16, indeed-18)
punct(business-16, ,-19)
det(economy-22, the-20)
amod(economy-22, entire-21)
appos(business-16, economy-22)
punct(reinvigorate-14, .-23)

dep(sound-3, This-1)
aux(sound-3, may-2)
root(ROOT-0, sound-3)
advmod(optimistic-5, strangely-4)
acomp(sound-3, optimistic-5)
punct(sound-3, .-6)

prep(viewed-14, After-1)
dep(After-1, all-2)
punct(viewed-14, ,-3)
prep(viewed-14, until-4)
det(years-7, a-5)
amod(years-7, few-6)
npadvmod(ago-8, years-7)
pcomp(until-4, ago-8)
punct(viewed-14, ,-9)
det(market-12, the-10)
nn(market-12, stock-11)
nsubjpass(viewed-14, market-12)
auxpass(viewed-14, was-13)
root(ROOT-0, viewed-14)
prep(viewed-14, as-15)
det(barometer-17, a-16)
pobj(as-15, barometer-17)
prep(barometer-17, of-18)
det(economy-21, the-19)
amod(economy-21, national-20)
pobj(of-18, economy-21)
punct(viewed-14, .-22)

advmod(went-3, When-1)
dep(went-3, it-2)
root(ROOT-0, went-3)
advmod(went-3, down-4)
punct(went-3, ,-5)
dep(went-3, by-6)
det(tradition-8, all-7)
pobj(by-6, tradition-8)
punct(went-3, ,-9)
det(economy-11, the-10)
dep(went-3, economy-11)
dep(went-3, followed-12)
punct(went-3, .-13)

dep(changed-3, That-1)
aux(changed-3, has-2)
root(ROOT-0, changed-3)
punct(changed-3, ,-4)
advmod(comfortable-20, partly-5)
mark(comfortable-20, because-6)
det(years-9, the-7)
num(years-9, two-8)
nsubj(comfortable-20, years-9)
prep(years-9, following-10)
det(plunge-14, the-11)
amod(plunge-14, worst-12)
nn(plunge-14, stock-market-13)
pobj(following-10, plunge-14)
prep(plunge-14, in-15)
dep(in-15, history-16)
aux(comfortable-20, have-17)
cop(comfortable-20, been-18)
advmod(comfortable-20, reasonably-19)
advcl(changed-3, comfortable-20)
punct(changed-3, .-21)

det(crash-3, The-1)
num(crash-3, 1987-2)
nsubj(alarm-8, crash-3)
cop(alarm-8, was-4)
punct(alarm-8, ``-5)
det(alarm-8, a-6)
amod(alarm-8, false-7)
ccomp(says-15, alarm-8)
advmod(view-11, however-9)
dep(view-11, you-10)
dep(alarm-8, view-11)
dep(view-11, it-12)
punct(says-15, ,-13)
punct(says-15, ''-14)
root(ROOT-0, says-15)
dep(Zarnowitz-21, University-16)
prep(University-16, of-17)
dep(of-17, Chicago-18)
nn(Zarnowitz-21, economist-19)
nn(Zarnowitz-21, Victor-20)
nsubj(says-15, Zarnowitz-21)
punct(says-15, .-22)

det(market-2, The-1)
nsubj(seems-3, market-2)
root(ROOT-0, seems-3)
advmod(disconnected-5, increasingly-4)
acomp(seems-3, disconnected-5)
prep(disconnected-5, from-6)
det(rest-8, the-7)
pobj(from-6, rest-8)
prep(rest-8, of-9)
det(nation-11, the-10)
pobj(of-9, nation-11)
punct(seems-3, .-12)

poss(spasms-2, Its-1)
nsubjpass(traced-6, spasms-2)
aux(traced-6, ca-3)
neg(traced-6, n't-4)
auxpass(traced-6, be-5)
root(ROOT-0, traced-6)
prep(traced-6, to-7)
amod(conditions-10, fundamental-8)
nn(conditions-10, business-9)
pobj(to-7, conditions-10)
punct(traced-6, ,-11)
cc(traced-6, nor-12)
aux(appear-15, do-13)
dep(appear-15, they-14)
conj(traced-6, appear-15)
aux(presage-17, to-16)
xcomp(appear-15, presage-17)
amod(shifts-19, major-18)
dobj(presage-17, shifts-19)
prep(shifts-19, in-20)
det(economy-22, the-21)
pobj(in-20, economy-22)
punct(traced-6, .-23)

punct(said-23, ``-1)
det(today-4, The-2)
nn(today-4, market-3)
nsubj(has-5, today-4)
ccomp(said-23, has-5)
det(life-7, a-6)
dobj(has-5, life-7)
prep(life-7, of-8)
poss(own-10, its-9)
pobj(of-8, own-10)
punct(said-23, ,-11)
punct(said-23, ''-12)
nn(Akers-14, John-13)
nsubj(said-23, Akers-14)
punct(Akers-14, ,-15)
appos(Akers-14, chairman-16)
prep(chairman-16, of-17)
nn(Corp.-21, International-18)
nn(Corp.-21, Business-19)
nn(Corp.-21, Machines-20)
pobj(of-17, Corp.-21)
punct(Akers-14, ,-22)
root(ROOT-0, said-23)
dep(said-23, Saturday-24)
punct(said-23, .-25)

punct('s-3, ``-1)
dep('s-3, There-2)
root(ROOT-0, 's-3)
dep('s-3, nothing-4)
amod(nothing-4, rational-5)
prep(rational-5, about-6)
det(kind-8, this-7)
pobj(about-6, kind-8)
prep(kind-8, of-9)
dep(of-9, action-10)
punct('s-3, .-11)
punct('s-3, ''-12)

prep(threatened-11, Of-1)
dep(Of-1, course-2)
punct(threatened-11, ,-3)
det(health-5, the-4)
nsubjpass(threatened-11, health-5)
prep(health-5, of-6)
det(economy-8, the-7)
pobj(of-6, economy-8)
aux(threatened-11, will-9)
auxpass(threatened-11, be-10)
root(ROOT-0, threatened-11)
mark(continues-15, if-12)
det(market-14, the-13)
nsubj(continues-15, market-14)
advcl(threatened-11, continues-15)
xcomp(continues-15, to-16)
dep(to-16, dive-17)
det(week-19, this-18)
tmod(continues-15, week-19)
punct(threatened-11, .-20)

advmod(falling-2, Sharply-1)
amod(prices-4, falling-2)
nn(prices-4, stock-3)
nsubj(reduce-6, prices-4)
aux(reduce-6, do-5)
root(ROOT-0, reduce-6)
nn(wealth-8, consumer-7)
dobj(reduce-6, wealth-8)
punct(reduce-6, ,-9)
conj(reduce-6, damage-10)
nn(confidence-12, business-11)
dobj(damage-10, confidence-12)
cc(reduce-6, and-13)
conj(reduce-6, discourage-14)
det(investors-17, the-15)
amod(investors-17, foreign-16)
dobj(discourage-14, investors-17)
prep(relies-23, upon-18)
dep(upon-18, whom-19)
det(U.S.-21, the-20)
nsubj(relies-23, U.S.-21)
advmod(relies-23, now-22)
rcmod(investors-17, relies-23)
prep(relies-23, for-24)
amod(sustenance-26, financial-25)
pobj(for-24, sustenance-26)
punct(reduce-6, .-27)

det(industry-3, The-1)
nn(industry-3, financial-services-2)
nsubjpass(battered-5, industry-3)
auxpass(battered-5, was-4)
root(ROOT-0, battered-5)
prep(battered-5, by-6)
det(crash-9, the-7)
num(crash-9, 1987-8)
pobj(by-6, crash-9)
punct(battered-5, .-10)

dep('s-2, What-1)
advcl(is-22, 's-2)
dep('s-2, more-3)
punct(is-22, ,-4)
mark(overvalued-12, although-5)
det(market-8, the-6)
nn(market-8, stock-7)
nsubj(overvalued-12, market-8)
cop(overvalued-12, is-9)
advmod(less-11, far-10)
advmod(overvalued-12, less-11)
advcl(is-22, overvalued-12)
dep(overvalued-12, today-13)
prep(overvalued-12, than-14)
num(years-16, two-15)
npadvmod(ago-17, years-16)
pcomp(than-14, ago-17)
punct(is-22, ,-18)
det(economy-21, the-19)
nn(economy-21, U.S.-20)
nsubj(is-22, economy-21)
root(ROOT-0, is-22)
dep(is-22, weaker-23)
punct(is-22, .-24)

dep(is-2, Growth-1)
root(ROOT-0, is-2)
dep(is-2, slower-3)
punct(is-2, .-4)

dep(are-2, Profits-1)
root(ROOT-0, are-2)
dep(are-2, softer-3)
punct(are-2, .-4)

nn(burdens-2, Debt-1)
nsubj(are-3, burdens-2)
root(ROOT-0, are-3)
dep(are-3, heavier-4)
punct(are-3, .-5)

cc(may-23, But-1)
mark(continue-8, if-2)
det(market-5, the-3)
nn(market-5, stock-4)
nsubj(continue-8, market-5)
aux(continue-8, does-6)
neg(continue-8, n't-7)
advcl(may-23, continue-8)
xcomp(continue-8, to-9)
dep(to-9, plummet-10)
punct(may-23, ,-11)
det(effects-14, the-12)
amod(effects-14, beneficial-13)
nsubj(may-23, effects-14)
prep(effects-14, of-15)
amod(rates-18, lower-16)
nn(rates-18, interest-17)
pobj(of-15, rates-18)
cc(rates-18, and-19)
det(dollar-22, a-20)
amod(dollar-22, lower-21)
conj(rates-18, dollar-22)
root(ROOT-0, may-23)
advmod(may-23, well-24)
dep(may-23, dominate-25)
punct(may-23, .-26)

det(Fed-2, The-1)
nsubjpass(poised-17, Fed-2)
punct(Fed-2, ,-3)
dep(resisting-9, which-4)
prep(resisting-9, until-5)
dep(until-5, Friday-6)
aux(resisting-9, had-7)
aux(resisting-9, been-8)
dep(Fed-2, resisting-9)
dobj(resisting-9, moves-10)
aux(ease-12, to-11)
vmod(moves-10, ease-12)
dep(ease-12, credit-13)
punct(Fed-2, ,-14)
auxpass(poised-17, is-15)
advmod(poised-17, now-16)
root(ROOT-0, poised-17)
aux(pour-19, to-18)
xcomp(poised-17, pour-19)
dep(pour-19, money-20)
prep(pour-19, into-21)
det(economy-23, the-22)
pobj(into-21, economy-23)
mark(needed-25, if-24)
advcl(pour-19, needed-25)
aux(soothe-27, to-26)
xcomp(needed-25, soothe-27)
det(markets-29, the-28)
dobj(soothe-27, markets-29)
punct(poised-17, .-30)

nn(officials-2, Fed-1)
nsubj(protest-4, officials-2)
aux(protest-4, may-3)
root(ROOT-0, protest-4)
mark(mean-10, that-5)
dep(mean-10, this-6)
aux(mean-10, does-7)
neg(mean-10, n't-8)
advmod(mean-10, necessarily-9)
ccomp(protest-4, mean-10)
det(change-13, a-11)
amod(change-13, fundamental-12)
dobj(mean-10, change-13)
prep(change-13, in-14)
poss(policies-17, their-15)
nn(policies-17, interest-rate-16)
pobj(in-14, policies-17)
punct(protest-4, .-18)

cc(suggests-8, But-1)
det(experience-3, the-2)
nsubj(suggests-8, experience-3)
prep(experience-3, of-4)
det(crash-7, the-5)
num(crash-7, 1987-6)
pobj(of-4, crash-7)
root(ROOT-0, suggests-8)
det(Fed-10, the-9)
nsubj(likely-12, Fed-10)
cop(likely-12, is-11)
ccomp(suggests-8, likely-12)
aux(bring-14, to-13)
xcomp(likely-12, bring-14)
dep(bring-14, down-15)
amod(rates-18, short-term-16)
nn(rates-18, interest-17)
dobj(bring-14, rates-18)
prep(bring-14, in-19)
poss(effort-21, its-20)
pobj(in-19, effort-21)
aux(calm-23, to-22)
vmod(effort-21, calm-23)
dep(calm-23, markets-24)
punct(suggests-8, .-25)

vmod(lowered-9, Anticipating-1)
det(Fed-3, the-2)
poss(move-5, Fed-3)
possessive(Fed-3, 's-4)
dobj(Anticipating-1, move-5)
punct(lowered-9, ,-6)
nn(traders-8, money-7)
nsubj(lowered-9, traders-8)
root(ROOT-0, lowered-9)
det(rate-13, a-10)
amod(rate-13, key-11)
nn(rate-13, interest-12)
dobj(lowered-9, rate-13)
vmod(rate-13, known-14)
prep(known-14, as-15)
det(rate-19, the-16)
nn(rate-19, Federal-17)
nn(rate-19, Funds-18)
pobj(as-15, rate-19)
prep(lowered-9, to-20)
num(%-22, 8.625-21)
pobj(to-20, %-22)
advmod(Friday-24, late-23)
tmod(lowered-9, Friday-24)
punct(lowered-9, ,-25)
advmod(lowered-9, down-26)
prep(down-26, from-27)
num(%-29, 8.820-28)
pobj(from-27, %-29)
det(day-31, the-30)
dep(%-29, day-31)
advmod(day-31, before-32)
punct(lowered-9, .-33)

amod(movements-2, Tiny-1)
nsubj(are-18, movements-2)
prep(movements-2, in-3)
det(rate-5, the-4)
pobj(in-3, rate-5)
punct(rate-5, ,-6)
dep(is-8, which-7)
dep(rate-5, is-8)
dep(charge-11, what-9)
dep(charge-11, banks-10)
ccomp(is-8, charge-11)
det(other-13, each-12)
dobj(charge-11, other-13)
prep(charge-11, for-14)
amod(loans-16, overnight-15)
pobj(for-14, loans-16)
punct(are-18, ,-17)
root(ROOT-0, are-18)
advmod(are-18, usually-19)
prep(are-18, among-20)
det(tracks-24, the-21)
amod(tracks-24, few-22)
amod(tracks-24, visible-23)
pobj(among-20, tracks-24)
dep(leaves-28, that-25)
det(Fed-27, the-26)
nsubj(leaves-28, Fed-27)
rcmod(tracks-24, leaves-28)
prep(leaves-28, on-29)
det(markets-32, the-30)
amod(markets-32, monetary-31)
pobj(on-29, markets-32)
punct(are-18, .-33)

det(dollar-2, The-1)
nsubj(began-4, dollar-2)
advmod(began-4, also-3)
root(ROOT-0, began-4)
xcomp(began-4, to-5)
dep(to-5, decline-6)
dep(began-4, Friday-7)
mark(caused-14, as-8)
det(market-11, the-9)
nn(market-11, stock-10)
poss(plunge-13, market-11)
possessive(market-11, 's-12)
nsubj(caused-14, plunge-13)
advcl(began-4, caused-14)
det(investors-16, some-15)
dobj(caused-14, investors-16)
aux(reassess-18, to-17)
xcomp(caused-14, reassess-18)
poss(desire-20, their-19)
dobj(reassess-18, desire-20)
aux(invest-22, to-21)
vmod(desire-20, invest-22)
prep(invest-22, in-23)
det(U.S.-25, the-24)
pobj(in-23, U.S.-25)
punct(began-4, .-26)

nn(officials-2, Treasury-1)
nsubj(arguing-5, officials-2)
aux(arguing-5, have-3)
aux(arguing-5, been-4)
root(ROOT-0, arguing-5)
prep(arguing-5, for-6)
dep(for-6, months-7)
mark(was-13, that-8)
det(dollar-10, the-9)
poss(strength-12, dollar-10)
possessive(dollar-10, 's-11)
nsubj(was-13, strength-12)
ccomp(arguing-5, was-13)
advmod(was-13, out-14)
prep(out-14, of-15)
pobj(of-15, whack-16)
prep(whack-16, with-17)
amod(fundamentals-19, economic-18)
pobj(with-17, fundamentals-19)
punct(was-13, ,-20)
xcomp(was-13, threatening-21)
aux(extinguish-23, to-22)
xcomp(threatening-21, extinguish-23)
det(boom-26, the-24)
nn(boom-26, export-25)
dobj(extinguish-23, boom-26)
dep(sustained-29, that-27)
aux(sustained-29, has-28)
dep(boom-26, sustained-29)
dep(sustained-29, manufacturers-30)
prep(sustained-29, for-31)
amod(years-33, several-32)
pobj(for-31, years-33)
punct(arguing-5, .-34)

det(drop-3, The-1)
nn(drop-3, market-2)
nsubj(convinced-7, drop-3)
aux(convinced-7, has-4)
advmod(convinced-7, now-5)
advmod(convinced-7, apparently-6)
root(ROOT-0, convinced-7)
amod(investors-9, foreign-8)
dobj(convinced-7, investors-9)
mark(was-13, that-10)
det(Treasury-12, the-11)
nsubj(was-13, Treasury-12)
ccomp(convinced-7, was-13)
dep(was-13, right-14)
prep(was-13, about-15)
det(dollar-18, the-16)
amod(dollar-18, overpriced-17)
pobj(about-15, dollar-18)
punct(convinced-7, .-19)

det(drop-3, A-1)
amod(drop-3, modest-2)
nsubjpass(welcomed-18, drop-3)
prep(drop-3, in-4)
det(dollar-6, the-5)
pobj(in-4, dollar-6)
punct(mind-13, ---7)
advmod(one-11, only-8)
det(one-11, a-9)
amod(one-11, modest-10)
nsubj(mind-13, one-11)
punct(mind-13, ,-12)
dep(drop-3, mind-13)
dep(mind-13, you-14)
punct(mind-13, ---15)
aux(welcomed-18, would-16)
auxpass(welcomed-18, be-17)
root(ROOT-0, welcomed-18)
prep(welcomed-18, by-19)
det(U.S.-21, the-20)
pobj(by-19, U.S.-21)
punct(welcomed-18, .-22)

dep(case-5, That-1)
cop(case-5, was-2)
neg(case-5, n't-3)
det(case-5, the-4)
root(ROOT-0, case-5)
prep(case-5, in-6)
pobj(in-6, 1987-7)
punct(1987-7, ,-8)
advmod(weak-14, when-9)
det(dollar-11, the-10)
nsubj(weak-14, dollar-11)
cop(weak-14, was-12)
advmod(weak-14, so-13)
dep(1987-7, weak-14)
mark(worried-22, that-15)
det(economists-17, some-16)
nsubj(worried-22, economists-17)
cc(economists-17, and-18)
nn(officials-20, government-19)
conj(economists-17, officials-20)
advmod(worried-22, seriously-21)
ccomp(weak-14, worried-22)
mark(might-25, that-23)
dep(might-25, it-24)
ccomp(worried-22, might-25)
dep(might-25, collapse-26)
punct(might-25, ,-27)
ccomp(might-25, producing-28)
dobj(producing-28, panic-29)
prep(panic-29, among-30)
amod(investors-32, foreign-31)
pobj(among-30, investors-32)
cc(producing-28, and-33)
conj(producing-28, diminishing-34)
det(flow-36, the-35)
dobj(diminishing-34, flow-36)
prep(flow-36, of-37)
amod(capital-39, foreign-38)
pobj(of-37, capital-39)
prep(flow-36, to-40)
det(U.S.-42, the-41)
pobj(to-40, U.S.-42)
punct(case-5, .-43)

det(difference-3, Another-1)
amod(difference-3, big-2)
nsubj(comforting-11, difference-3)
prep(difference-3, between-4)
pobj(between-4, 1987-5)
cc(1987-5, and-6)
conj(1987-5, 1989-7)
cop(comforting-11, is-8)
neg(comforting-11, n't-9)
advmod(comforting-11, so-10)
root(ROOT-0, comforting-11)
punct(comforting-11, .-12)

prep(spurted-10, In-1)
det(quarter-4, the-2)
amod(quarter-4, third-3)
pobj(In-1, quarter-4)
