nummod(put, 3)
cc(regal, and)
conj(supreme, regal)
obl(is, bearing)
expl(is, there)
root(ROOT, is)
advmod(is, still)
det(one, no)
nsubj(is, one)
nsubj(touch, who)
aux(touch, can)
acl:relcl(one, touch)
obj(touch, her)
punct(is, .)
mark(shade, If)
det(voice, the)
nsubj(shade, voice)
cop(shade, is)
advmod(shade, just)
det(shade, a)
advcl(instrument, shade)
advmod(glorious, less)
amod(shade, glorious)
mark(used, than)
nsubj(used, it)
advcl(glorious, used)
mark(be, to)
xcomp(used, be)
punct(instrument, ,)
nsubj(instrument, it)
cop(instrument, is)
advmod(instrument, still)
det(instrument, a)
amod(instrument, beautiful)
root(ROOT, instrument)
punct(instrument, ,)
conj(instrument, controlled)
cc(flexible, and)
conj(controlled, flexible)
punct(instrument, .)
root(ROOT, Put)
case(service, to)
det(service, the)
obl(Put, service)
case(lieder, of)
nmod(service, lieder)
case(Schubert, of)
nmod(lieder, Schubert)
punct(Brahms, ,)
conj(Schubert, Brahms)
punct(Strauss, ,)
conj(Schubert, Strauss)
cc(Wolf, and)
conj(Schubert, Wolf)
case(way, in)
det(way, a)
amod(way, dramatical)
cc(musical, and)
conj(dramatical, musical)
obl(Put, way)
punct(made, ,)
nsubj(made, it)
parataxis(Put, made)
nmod:poss(effect, it)
case(it, s)
obj(made, effect)
case(ease, with)
nmod(effect, ease)
cc(precision, and)
conj(ease, precision)
punct(Put, .)
cc(described, But)
nsubj(happening, what)
aux(happening, has)
aux(happening, been)
advcl(described, happening)
advmod(happening, recently)
aux(described, might)
aux:pass(described, be)
root(ROOT, described)
case(mannerism, as)
amod(mannerism, creeping)
obl(described, mannerism)
punct(described, .)
case(confidence, Instead)
case(confidence, of)
nmod:poss(confidence, her)
amod(confidence, old)
obl(letting, confidence)
case(confidence, in)
det(expression, the)
amod(confidence, simplest)
punct(purest, ,)
amod(expression, purest)
punct(expression, ,)
advmod(moving, most)
amod(expression, moving)
amod(expression, musical)
obl(letting, expression)
punct(letting, ,)
compound(Schwarzkopf, Miss)
nsubj(letting, Schwarzkopf)
aux(letting, is)
root(ROOT, letting)
obj(letting, herself)
aux:pass(tempted, be)
xcomp(letting, tempted)
case(sin, by)
det(sin, the)
amod(sin, classic)
obl(tempted, sin)
case(pride, of)
amod(pride, artistic)
nmod(sin, pride)
punct(sin, --)
det(vanity, that)
amod(vanity, subtle)
appos(sin, vanity)
nsubj(misleads, that)
advmod(misleads, sometimes)
acl:relcl(vanity, misleads)
det(artist, a)
amod(artist, great)
obj(misleads, artist)
mark(thinking, into)
advcl(misleads, thinking)
mark(better, that)
nsubj(better, he)
cc(she, or)
conj(he, she)
aux(better, can)
advmod(better, somehow)
ccomp(thinking, better)
det(music, the)
nsubj(better, music)
mark(bringing, by)
advcl(better, bringing)
case(it, to)
obl(bringing, it)
obj(bringing, something)
amod(something, extra)
punct(something, ,)
det(touch, some)
amod(touch, personal)
amod(touch, dramatic)
appos(something, touch)
acl(touch, imposed)
case(outside, from)
det(outside, the)
obl(imposed, outside)
punct(letting, .)
det(symptoms, The)
nsubj(unmistakable, symptoms)
compound(night, Saturday)
nmod:tmod(symptoms, night)
cop(unmistakable, were)
root(ROOT, unmistakable)
punct(unmistakable, .)
amod(songs, Clever)
compound(songs, light)
nsubj(coy, songs)
cop(coy, were)
advmod(coy, overly)
root(ROOT, coy)
punct(songs, ,)
amod(songs, tragic)
conj(coy, songs)
det(little, a)
obl:npmod(melodramatic, little)
advmod(melodramatic, too)
conj(coy, melodramatic)
punct(coy, .)
expl(was, There)
root(ROOT, was)
det(pause, an)
amod(pause, extra)
nsubj(was, pause)
advmod(pause, here)
punct(gasp, ,)
det(gasp, a)
appos(pause, gasp)
cc(sigh, or)
det(sigh, a)
conj(gasp, sigh)
advmod(gasp, there)
punct(here, ,)
advmod(was, here)
cc(twist, and)
expl(here, there)
det(twist, an)
amod(twist, extra)
amod(twist, little)
conj(here, twist)
case(word, of)
det(word, a)
nmod(twist, word)
cc(note, or)
conj(word, note)
punct(twist, ,)
appos(twist, all)
case(interest, in)
det(interest, the)
nmod(all, interest)
case(effect, of)
nmod(interest, effect)
punct(was, .)
det(result, The)
nsubj(that, result)
cop(that, was)
case(that, like)
root(ROOT, that)
case(painting, of)
det(painting, a)
amod(painting, beautiful)
nmod(that, painting)
case(some, with)
nmod(painting, some)
case(highlights, of)
det(highlights, the)
nmod(some, highlights)
acl(highlights, touched)
compound:prt(touched, up)
advmod(point, almost)
case(point, to)
det(point, the)
obl(touched, point)
case(garishness, of)
nmod(point, garishness)
punct(that, .)
expl(were, There)
root(ROOT, were)
amod(phrases, stunning)
amod(phrases, musical)
nsubj(were, phrases)
advmod(were, too)
punct(achieved, ,)
cc(achieved, and)
advmod(kind, sometimes)
det(kind, the)
amod(kind, deepest)
conj(phrases, kind)
case(absorption, of)
amod(absorption, musical)
cc(poetic, and)
conj(musical, poetic)
nmod(kind, absorption)
cc(communication, and)
conj(absorption, communication)
punct(kind, .)
appos(absorption, Miss)
flat(Miss, Schwarzkopf)
cc(pianist, and)
nmod:poss(pianist, her)
amod(pianist, excellent)
conj(Miss, pianist)
punct(pianist, ,)
appos(pianist, John)
flat(John, Wustman)
punct(achieved, ,)
advmod(achieved, often)
conj(were, achieved)
det(ideals, the)
amod(ideals, highest)
amod(ideals, lyrical)
obj(achieved, ideals)
case(tradition, of)
det(tradition, the)
amod(tradition, lieder)
nmod(ideals, tradition)
punct(were, .)
det:predet(reason, All)
det(reason, the)
amod(reason, more)
root(ROOT, reason)
advmod(been, why)
expl(been, there)
aux(been, should)
aux(been, have)
acl:relcl(reason, been)
det(place, no)
nsubj(been, place)
case(frills, for)
det(frills, the)
nmod(place, frills)
punct(reason, ;)
punct(reason, ;)
compound(Schwarzkopf, Miss)
nsubj(great, Schwarzkopf)
cop(great, is)
advmod(great, too)
parataxis(reason, great)
det(artist, an)
parataxis(great, artist)
mark(need, to)
acl(artist, need)
obj(need, them)
punct(reason, .)
det(dance, The)
nsubj(had, dance)
punct(dancers, ,)
conj(dance, dancers)
cc(enthusiasts, and)
compound(enthusiasts, dance)
conj(dance, enthusiasts)
punct(8,500, ()
appos(dance, 8,500)
case(them, of)
nmod(8,500, them)
punct(8,500, ))
root(ROOT, had)
det(time, a)
advmod(better, much)
amod(time, better)
obj(had, time)
case(it, of)
nmod(time, it)
case(Stadium, at)
compound(Stadium, Lewisohn)
nmod(time, Stadium)
case(night, on)
compound(night, Saturday)
obl(had, night)
mark(had, than)
nsubj(had, all)
aux(had, had)
advcl(had, had)
nummod(nights, two)
obl:npmod(earlier, nights)
advmod(had, earlier)
punct(had, ,)
mark(presented, when)
compound(Concerts, Stadium)
nsubj(presented, Concerts)
advcl(had, presented)
det(first, the)
obj(presented, first)
case(programs, of)
nummod(programs, two)
compound(programs, dance)
nmod(first, programs)
punct(had, .)
case(Saturday, On)
obl(situated, Saturday)
punct(situated, ,)
det(orchestra, the)
nsubj:pass(situated, orchestra)
aux:pass(situated, was)
advmod(situated, sensibly)
root(ROOT, situated)
compound:prt(situated, down)
case(field, on)
det(field, the)
obl(situated, field)
punct(situated, ,)
det(floor, the)
compound(floor, stage)
nsubj(condition, floor)
cop(condition, was)
advmod(condition, apparently)
case(condition, in)
amod(condition, decent)
conj(situated, condition)
case(dancing, for)
nmod(condition, dancing)
punct(improved, ,)
cc(improved, and)
det(order, the)
nsubj(improved, order)
case(program, of)
det(program, the)
nmod(order, program)
conj(situated, improved)
punct(situated, .)
expl(was, There)
root(ROOT, was)
punct(was, ,)
advmod(bonus, additionally)
punct(bonus, ,)
det(bonus, a)
nsubj(was, bonus)
case(patrons, for)
det(patrons, the)
compound(night, Saturday)
punct(night, -)
compound(patrons, night)
nmod(bonus, patrons)
punct(was, .)
nsubj(appeared, Alvin)
flat(Alvin, Ailey)
cc(Carmen, and)
conj(Alvin, Carmen)
flat(Carmen, De)
flat(Carmen, Lavallade)
root(ROOT, appeared)
case(performance, in)
det(performance, the)
amod(performance, first)
compound(York, New)
compound(performance, York)
obl(appeared, performance)
case(Mr., of)
nmod(performance, Mr.)
flat(Mr., Ailey)
case(Mr., 's)
punct(appeared, ``)
root(ROOT, Roots)
case(Blues, Of)
det(Blues, The)
nmod(Roots, Blues)
punct(Blues, '')
punct(Roots, ,)
det(work, a)
appos(Roots, work)
acl(work, given)
nmod:poss(premiere, its)
obj(given, premiere)
nummod(weeks, three)
obl:npmod(ago, weeks)
advmod(given, ago)
case(Festival, at)
det(Festival, the)
compound(Festival, Boston)
compound(Festival, Arts)
obl(ago, Festival)
punct(Roots, .)
advmod(included, Otherwise)
punct(included, ,)
det(program, the)
nsubj(included, program)
root(ROOT, included)
punct(included, ,)
case(Thursday, as)
case(Thursday, on)
obl(included, Thursday)
punct(Thursday, ,)
det(Taras, the)
appos(Thursday, Taras)
punct(Taras, -)
flat(Taras, Tchaikovsky)
punct(included, ``)
root(ROOT, Design)
case(Strings, For)
nmod(Design, Strings)
punct(Design, '')
punct(Design, ,)
det(Dollar, the)
parataxis(Design, Dollar)
punct(Britten, -)
appos(Dollar, Britten)
punct(Design, ``)
root(ROOT, Divertimento)
punct(Divertimento, '')
punct(Divertimento, ,)
det(Dollar, the)
list(Divertimento, Dollar)
punct(Banfield, -)
compound(Banfield, De)
appos(Divertimento, Banfield)
punct(Divertimento, ``)
det(Duel, The)
root(ROOT, Duel)
punct(Duel, '')
cc(deux, and)
det(deux, the)
advmod(deux, pas)
compound(deux, de)
conj(Duel, deux)
nmod(deux, from)
punct(Duel, ``)
det(Nutcracker, The)
compound(Maria, Nutcracker)
punct(Nutcracker, '')
punct(Maria, .)
root(ROOT, Maria)
flat(Maria, Tallchief)
cc(Erik, and)
conj(Maria, Erik)
flat(Erik, Bruhn)
punct(Maria, ,)
nsubj(danced, who)
acl:relcl(Maria, danced)
obj(danced, the)
punct(danced, ``)
nsubj:pass(seen, Nutcracker)
punct(pas, '')
appos(Nutcracker, pas)
flat(pas, de)
flat(pas, deux)
punct(seen, ,)
aux:pass(seen, were)
advmod(seen, also)
root(ROOT, seen)
case(deux, in)
det(deux, the)
compound(Minkus, Petipa)
punct(Minkus, -)
compound(deux, Minkus)
compound(deux, pas)
compound(deux, de)
obl(seen, deux)
nmod(deux, from)
punct(seen, ``)
root(ROOT, Don)
flat(Don, Quixote)
punct(Don, '')
punct(Don, ,)
det(showpiece, another)
amod(showpiece, brilliant)
appos(Don, showpiece)
nsubj(displayed, that)
acl:relcl(showpiece, displayed)
nmod:poss(prowess, their)
amod(prowess, technical)
obj(displayed, prowess)
advmod(displayed, handsomely)
punct(showpiece, .)
case(dancers, Among)
det(dancers, the)
amod(dancers, other)
amod(dancers, solo)
compound(dancers, ballet)
obl(impressive, dancers)
case(evening, of)
det(evening, the)
nmod(dancers, evening)
punct(impressive, ,)
nsubj(impressive, Elisabeth)
flat(Elisabeth, Carroll)
cc(Ivan, and)
conj(Elisabeth, Ivan)
flat(Ivan, Allen)
cop(impressive, were)
advmod(impressive, particularly)
root(ROOT, impressive)
case(roles, in)
nmod:poss(roles, their)
obl(impressive, roles)
nmod(roles, in)
punct(impressive, ``)
det(Duel, The)
root(ROOT, Duel)
punct(Duel, '')
punct(Duel, ,)
det(work, a)
appos(Duel, work)
nsubj(depends, that)
acl:relcl(work, depends)
advmod(much, so)
obj(depends, much)
case(precision, upon)
det(precision, the)
obl(depends, precision)
cc(incisiveness, and)
conj(precision, incisiveness)
case(combatants, of)
det(combatants, the)
nummod(combatants, two)
amod(combatants, principal)
nmod(incisiveness, combatants)
punct(Duel, .)
root(ROOT, Mr.)
flat(Mr., Ailey)
case(Mr., 's)
punct(Mr., ``)
nsubj(provided, Roots)
case(Blues, Of)
det(Blues, The)
nmod(Roots, Blues)
punct(Blues, '')
punct(Blues, ,)
det(work, an)
amod(work, earthy)
cc(human, and)
advmod(human, very)
conj(earthy, human)
amod(work, modern)
compound(work, dance)
appos(Roots, work)
punct(provided, ,)
root(ROOT, provided)
amod(contrast, strong)
obj(provided, contrast)
case(selections, to)
det(selections, the)
compound(selections, ballet)
nmod(contrast, selections)
case(evening, of)
det(evening, the)
nmod(selections, evening)
punct(provided, .)
mark(sang, As)
nsubj(sang, Brother)
flat(Brother, John)
flat(Brother, Sellers)
advcl(provided, sang)
nummod(blues, five)
punct(blues, ``)
obj(sang, blues)
punct(blues, '')
case(accompaniments, to)
det(accompaniments, the)
compound(accompaniments, guitar)
cc(drum, and)
conj(guitar, drum)
nmod(blues, accompaniments)
case(Bruce, of)
nmod(accompaniments, Bruce)
flat(Bruce, Langhorne)
cc(Shep, and)
conj(Bruce, Shep)
flat(Shep, Shepard)
punct(Mr., ,)
nsubj(went, Mr.)
flat(Mr., Ailey)
cc(Miss, and)
conj(Mr., Miss)
flat(Miss, De)
flat(Miss, Lavallade)
acl:relcl(Bruce, went)
case(dances, through)
amod(dances, volatile)
obl(went, dances)
nsubj(turns, that)
cop(turns, were)
case(turns, by)
acl:relcl(dances, turns)
acl(turns, insinuating)
punct(threatening, ,)
conj(insinuating, threatening)
punct(contemptuous, ,)
conj(insinuating, contemptuous)
cc(ecstatic, and)
conj(insinuating, ecstatic)
punct(went, .)
nmod:poss(props, Their)
nsubj(stepladders, props)
cop(stepladders, were)
nummod(stepladders, two)
root(ROOT, stepladders)
punct(chair, ,)
det(chair, a)
conj(stepladders, chair)
cc(fan, and)
det(fan, a)
compound(fan, palm)
conj(chair, fan)
punct(stepladders, .)
nsubj(wore, He)
root(ROOT, wore)
det(clothes, the)
obj(wore, clothes)
case(laborer, of)
det(laborer, a)
nmod(clothes, laborer)
punct(seductive, ,)
cc(seductive, and)
nsubj(seductive, she)
cop(seductive, was)
advmod(seductive, wondrously)
conj(wore, seductive)
case(dress, in)
det(dress, a)
amod(dress, yellow)
cc(orange, and)
conj(yellow, orange)
obl(seductive, dress)
punct(wore, .)
det(cat, The)
nsubj:pass(exploited, cat)
punct(cat, -)
case(sinuousness, like)
nmod(cat, sinuousness)
cc(agility, and)
conj(sinuousness, agility)
case(dancers, of)
det(dancers, both)
nmod(agility, dancers)
aux:pass(exploited, were)
root(ROOT, exploited)
case(leaps, in)
obl(exploited, leaps)
punct(lifts, ,)
conj(leaps, lifts)
punct(crawls, ,)
conj(leaps, crawls)
cc(slides, and)
conj(leaps, slides)
nsubj(compelling, that)
cop(compelling, were)
advmod(compelling, almost)
advmod(compelling, invariably)
acl:relcl(leaps, compelling)
case(work, in)
det(work, a)
obl(compelling, work)
case(strong, of)
nmod(work, strong)
punct(frightening, ,)
advmod(frightening, sometimes)
advmod(frightening, almost)
amod(tensions, frightening)
punct(tensions, ,)
conj(work, tensions)
punct(exploited, .)
punct(exploited, ``)
nsubj(souls, Roots)
case(Blues, Of)
det(Blues, The)
nmod(Roots, Blues)
punct(Blues, '')
aux(souls, may)
advmod(souls, not)
cop(souls, be)
case(souls, for)
amod(souls, gentle)
root(ROOT, souls)
punct(welcome, ,)
cc(welcome, but)
nsubj(welcome, others)
aux(welcome, should)
conj(souls, welcome)
nmod:poss(impact, its)
advmod(charged, super)
punct(charged, -)
amod(impact, charged)
obj(welcome, impact)
punct(souls, .)
punct(souls, ``)
advmod(better, Perhaps)
expl(better, it)
cop(better, is)
root(ROOT, better)
mark(stay, to)
csubj(better, stay)
case(home, at)
obl(stay, home)
punct(better, .)
det(traveler, The)
compound(traveler, armchair)
nsubj(preserves, traveler)
root(ROOT, preserves)
nmod:poss(illusions, his)
obj(preserves, illusions)
punct(preserves, '')
punct(preserves, .)
det(comment, This)
advmod(cynical, somewhat)
amod(comment, cynical)
nsubj:pass(found, comment)
aux(found, may)
aux:pass(found, be)
parataxis(preserves, found)
case(Skies, in)
punct(Skies, ``)
compound(Skies, Blue)
obl(found, Skies)
punct(Skies, ,)
compound(Studies, Brown)
conj(Skies, Studies)
punct(Skies, '')
punct(Skies, ,)
det(collection, a)
appos(Skies, collection)
case(essays, of)
compound(essays, travel)
nmod(collection, essays)
case(William, by)
nmod(essays, William)
flat(William, Sansom)
punct(William, ,)
nsubj(consider, who)
aux(consider, would)
advmod(consider, never)
acl:relcl(William, consider)
xcomp(consider, staying)
advmod(staying, home)
case(long, for)
obl(staying, long)
punct(English, .)
nsubj(English, Mr.)
flat(Mr., Sansom)
cop(English, is)
parataxis(consider, English)
punct(bearded, ,)
conj(English, bearded)
punct(cultivated, ,)
advmod(cultivated, formidably)
conj(English, cultivated)
punct(author, ,)
det(author, the)
amod(author, versatile)
conj(English, author)
case(volumes, of)
amod(volumes, numerous)
nmod(author, volumes)
case(stories, of)
amod(stories, short)
nmod(volumes, stories)
punct(novels, ,)
case(novels, of)
nmod(volumes, novels)
cc(pieces, and)
case(pieces, of)
conj(novels, pieces)
nsubj(stories, that)
cop(stories, are)
advmod(stories, neither)
amod(stories, short)
acl:relcl(pieces, stories)
cc(articles, nor)
compound(articles, travel)
conj(stories, articles)
cc(something, but)
conj(stories, something)
advmod(something, midway)
nmod(something, between)
punct(preserves, .)
det(man, The)
amod(man, only)
nsubj(writes, man)
amod(man, alive)
nsubj(seems, who)
acl:relcl(man, seems)
xcomp(seems, qualified)
case(learning, by)
nmod:poss(learning, his)
obl(qualified, learning)
punct(disposition, ,)
nmod:poss(disposition, his)
conj(learning, disposition)
cc(addiction, and)
nmod:poss(addiction, his)
conj(disposition, addiction)
case(luxuriance, to)
det(luxuriance, a)
amod(luxuriance, baroque)
nmod(addiction, luxuriance)
case(language, of)
nmod(luxuriance, language)
mark(inherit, to)
acl(luxuriance, inherit)
det(mantle, the)
amod(mantle, literary)
obj(inherit, mantle)
case(Sacheverell, of)
nmod(mantle, Sacheverell)
flat(Sacheverell, Sitwell)
punct(writes, ,)
nsubj(writes, Mr.)
flat(Mr., Sansom)
root(ROOT, writes)
case(parts, of)
amod(parts, foreign)
obl(writes, parts)
case(dedication, with)
det(dedication, a)
obl(writes, dedication)
case(decoration, to)
nmod(dedication, decoration)
amod(dedication, worthy)
case(chef, of)
det(chef, a)
compound(chef, pastry)
obl(worthy, chef)
acl(chef, creating)
det(cake, a)
compound(cake, wedding)
obj(creating, cake)
case(marriage, for)
det(marriage, the)
nmod(cake, marriage)
case(beauty, of)
det(beauty, a)
amod(beauty, Hungarian)
nmod(marriage, beauty)
punct(third, ()
nmod:poss(third, her)
appos(beauty, third)
punct(third, ))
cc(multimillionaire, and)
det(multimillionaire, an)
amod(multimillionaire, American)
conj(beauty, multimillionaire)
punct(fourth, ()
nmod:poss(fourth, his)
appos(multimillionaire, fourth)
punct(fourth, ))
punct(writes, .)
det(result, The)
nsubj(wonderful, result)
cop(wonderful, is)
advmod(wonderful, rather)
root(ROOT, wonderful)
punct(rich, ,)
cc(rich, but)
advmod(rich, so)
conj(wonderful, rich)
mark(indigestible, as)
mark(indigestible, to)
cop(indigestible, be)
advcl(rich, indigestible)
mark(taken, if)
advcl(indigestible, taken)
case(slices, in)
advmod(thick, too)
amod(slices, thick)
obl(taken, slices)
punct(wonderful, .)
expl(are, There)
root(ROOT, are)
nummod(essays, sixteen)
nsubj(are, essays)
case(Skies, in)
punct(Skies, ``)
compound(Skies, Blue)
nmod(essays, Skies)
punct(Skies, ,)
compound(Studies, Brown)
appos(Skies, Studies)
punct(Skies, '')
punct(are, .)
nsubj:pass(written, Most)
case(them, of)
nmod(Most, them)
aux:pass(written, were)
parataxis(are, written)
case(1953, between)
obl(written, 1953)
cc(1960, and)
conj(1953, 1960)
cc(appeared, and)
advmod(appeared, originally)
conj(written, appeared)
case(magazines, in)
amod(magazines, various)
obl(appeared, magazines)
punct(are, .)
nsubj:pass(written, All)
aux:pass(written, are)
advmod(written, well)
root(ROOT, written)
cc(overwritten, and)
aux:pass(overwritten, are)
conj(written, overwritten)
punct(written, .)
cc(charm, But)
punct(charm, ,)
advmod(labors, even)
mark(labors, if)
nsubj(labors, Mr.)
flat(Mr., Sansom)
advcl(charm, labors)
advmod(hard, too)
advmod(labors, hard)
mark(extract, to)
advcl(labors, extract)
amod(refinements, more)
obj(extract, refinements)
mark(meaning, of)
acl(refinements, meaning)
cc(feeling, and)
conj(meaning, feeling)
case(experiences, from)
nmod:poss(experiences, his)
compound(experiences, travel)
obl(feeling, experiences)
case(limits, than)
det(limits, the)
nmod(experiences, limits)
case(language, of)
nmod(limits, language)
acl:relcl(limits, allow)
punct(charm, ,)
nsubj(charm, he)
advmod(charm, still)
aux(charm, can)
root(ROOT, charm)
cc(astound, and)
conj(charm, astound)
punct(charm, .)
advmod(many, Too)
amod(books, many)
nsubj:pass(assembled, books)
cc(articles, and)
conj(books, articles)
aux:pass(assembled, are)
advmod(assembled, just)
root(ROOT, assembled)
mark(putting, by)
advcl(assembled, putting)
nummod(word, one)
obj(putting, word)
case(another, after)
obl(putting, another)
punct(writes, .)
nsubj(writes, Mr.)
flat(Mr., Sansom)
advmod(writes, actually)
parataxis(assembled, writes)
obj(writes, his)
case(ear, with)
det(ear, a)
amod(ear, nice)
obl(writes, ear)
case(sentence, for)
det(sentence, a)
advmod(composed, gracefully)
amod(sentence, composed)
nmod(ear, sentence)
punct(sentence, ,)
case(relish, with)
det(relish, an)
amod(relish, intense)
nmod(sentence, relish)
case(resources, in)
det:predet(resources, all)
det(resources, the)
amod(resources, metaphorical)
nmod(relish, resources)
case(English, of)
nmod(resources, English)
punct(resources, ,)
case(shower, with)
det(shower, a)
amod(shower, thick)
nmod(resources, shower)
case(references, of)
amod(references, sophisticated)
punct(references, ,)
amod(references, cultural)
nmod(shower, references)
punct(assembled, . )
det(connoisseur, A)
amod(connoisseur, contemplative)
root(ROOT, connoisseur)
punct(connoisseur, ``)
nsubj(like, I)
root(ROOT, like)
mark(sniff, to)
xcomp(like, sniff)
det(place, a)
obj(sniff, place)
punct(reproduce, ,)
cc(reproduce, and)
conj(sniff, reproduce)
obj(smells, what)
nsubj(smells, it)
advmod(smells, really)
ccomp(reproduce, smells)
cc(looks, and)
conj(smells, looks)
obl(looks, like)
punct(like, ,)
nsubj(color, it)
cop(color, s)
parataxis(like, color)
punct(color, ,)
nsubj(kind, it)
cop(kind, s)
amod(kind, particular)
parataxis(color, kind)
case(life, of)
nmod(kind, life)
punct(kind, '')
punct(like, .)
nsubj(description, This)
cop(description, is)
det(description, an)
amod(description, exact)
parataxis(kind, description)
case(what, of)
nmod(description, what)
nsubj(does, Mr.)
flat(Mr., Sansom)
acl:relcl(what, does)
punct(like, .)
nsubj(ignores, He)
root(ROOT, ignores)
compound(facts, guidebook)
obj(ignores, facts)
punct(ignores, .)
nsubj(tells, He)
advmod(tells, only)
advmod(tells, rarely)
root(ROOT, tells)
det(anecdote, a)
amod(anecdote, personal)
obj(tells, anecdote)
cc(sketches, and)
advmod(sketches, hardly)
advmod(sketches, ever)
conj(tells, sketches)
det(individual, an)
obj(sketches, individual)
cc(quotes, or)
conj(sketches, quotes)
nmod:poss(opinions, his)
obj(quotes, opinions)
punct(tells, .)
nsubj(impression, It)
cop(impression, is)
det(impression, an)
advmod(all, over)
punct(all, -)
det(impression, all)
root(ROOT, impression)
nsubj(strives, Mr.)
flat(Mr., Sansom)
acl:relcl(impression, strives)
obl(strives, for)
punct(impression, ,)
det(impression, an)
obl:npmod(strives, impression)
acl(impression, compounded)
case(details, of)
amod(details, visual)
obl(compounded, details)
punct(details, ,)
case(mixture, of)
det(mixture, a)
amod(mixture, savory)
nmod(details, mixture)
case(smells, of)
nmod(mixture, smells)
punct(mixture, ,)
case(attention, of)
advmod(loving, much)
amod(attention, loving)
nmod(mixture, attention)
case(architecture, to)
nmod(attention, architecture)
cc(scenery, and)
conj(architecture, scenery)
punct(lights, ,)
case(lights, of)
nmod(architecture, lights)
cc(shadows, and)
conj(lights, shadows)
punct(intangibles, ,)
case(intangibles, of)
nmod(lights, intangibles)
case(atmosphere, of)
nmod(intangibles, atmosphere)
cc(echoes, and)
case(echoes, of)
conj(atmosphere, echoes)
case(past, of)
det(past, the)
nmod(echoes, past)
punct(writes, .)
nsubj(writes, William)
flat(William, Sansom)
parataxis(impression, writes)
advmod(Europe, only)
case(Europe, about)
obl(writes, Europe)
case(book, in)
det(book, this)
obl(writes, book)
cc(places, and)
advmod(places, frequently)
case(places, of)
amod(places, such)
amod(places, familiar)
conj(book, places)
case(London, as)
nmod(places, London)
punct(Vienna, ,)
conj(London, Vienna)
punct(Riviera, ,)
det(Riviera, the)
compound(Riviera, French)
conj(London, Riviera)
cc(fjords, and)
det(fjords, the)
amod(fjords, Norwegian)
conj(London, fjords)
punct(writes, .)
cc(matter, But)
advmod(matter, no)
root(ROOT, matter)
obj(writes, what)
nsubj(writes, he)
advcl(matter, writes)
mark(brings, about)
nsubj(brings, he)
advcl(writes, brings)
case(subject, to)
nmod:poss(subject, his)
obl(brings, subject)
nmod:poss(mind, his)
amod(mind, own)
amod(mind, original)
appos(subject, mind)
cc(reactions, and)
nmod:poss(reactions, his)
amod(reactions, own)
amod(reactions, sensitive)
conj(mind, reactions)
punct(matter, .)
punct(matter, ``)
det(writer, A)
nsubj(lives, writer)
root(ROOT, lives)
punct(lives, ,)
case(best, at)
obl(lives, best)
punct(lives, ,)
case(state, in)
det(state, a)
obl(lives, state)
case(astonishment, of)
nmod(state, astonishment)
punct(lives, '')
punct(lives, ,)
nsubj(says, he)
parataxis(lives, says)
punct(lives, .)
punct(lives, ``)
case(feeling, Beneath)
det(feeling, any)
obl(has, feeling)
nsubj(has, he)
root(ROOT, has)
case(good, of)
det(good, the)
obl(has, good)
cc(lies, or)
det(evil, the)
nsubj(lies, evil)
case(world, of)
det(world, the)
nmod(evil, world)
conj(has, lies)
det(one, a)
amod(one, deeper)
obj(lies, one)
case(wonder, of)
nmod(one, wonder)
case(it, at)
nmod(one, it)
det(it, all)
punct(has, . )
mark(transmit, To)
advcl(true, transmit)
det(feeling, that)
obj(transmit, feeling)
nsubj(writes, he)
ccomp(transmit, writes)
punct(writes, '')
punct(true, .)
nsubj(true, This)
aux(true, may)
advmod(true, not)
cop(true, be)
root(ROOT, true)
case(writers, of)
amod(writers, many)
obl(true, writers)
punct(true, ,)
cc(true, but)
nsubj(true, it)
advmod(true, certainly)
cop(true, is)
conj(true, true)
case(Mr., of)
obl(true, Mr.)
flat(Mr., Sansom)
punct(true, .)
advmod(share, So)
case(pages, in)
det(pages, these)
obl(share, pages)
nsubj(share, one)
aux(share, can)
root(ROOT, share)
nmod:poss(wonder, his)
obj(share, wonder)
case(fiesta, at)
det(fiesta, the)
amod(fiesta, traditional)
obl(share, fiesta)
case(St., of)
nmod(fiesta, St.)
flat(St., Torpetius)
nsubj(persists, that)
advmod(persists, still)
acl:relcl(fiesta, persists)
case(St., in)
obl(persists, St.)
flat(St., Tropez)
punct(share, ;)
punct(share, ;)
case(sun, at)
det(sun, the)
obl(brighter, sun)
cc(heat, and)
det(heat, the)
conj(sun, heat)
case(lands, of)
amod(lands, Mediterranean)
nmod(heat, lands)
punct(brighter, ,)
advmod(brighter, always)
advmod(brighter, much)
parataxis(share, brighter)
cc(hotter, and)
conj(brighter, hotter)
case(Englishman, to)
det(Englishman, an)
obl(hotter, Englishman)
case(American, than)
case(American, to)
det(American, an)
nmod(Englishman, American)
acl(American, used)
case(summers, to)
obl(used, summers)
case(York, in)
compound(York, New)
nmod(summers, York)
cc(City, or)
compound(City, Kansas)
conj(York, City)
punct(delights, ;)
punct(share, ;)
case(delights, at)
det(delights, the)
amod(delights, supreme)
obl(share, delights)
mark(found, to)
aux:pass(found, be)
acl(delights, found)
case(one, in)
obl(found, one)
case(restaurants, of)
det(world, the)
nmod:poss(restaurants, world)
case(world, 's)
amod(restaurants, finest)
nmod(one, restaurants)
punct(restaurants, ,)
compound(Auberge, La)
compound(Auberge, Bonne)
appos(restaurants, Auberge)
punct(Auberge, ,)
