nsubj(break, he)
nmod(nothing, air)
punct(grasp, .)
nsubj(hate, he)
root(ROOT, hate)
obj(hate, they)
advmod(much, too)
advmod(hate, much)
mark(understand, to)
advcl(hate, understand)
punct(understand, --)
det(people, the)
obj(understand, people)
case(world, of)
det(world, this)
amod(world, isolate)
compound(unto, law)
punct(unto, -)
compound(world, unto)
punct(itself, -)
compound(world, itself)
nmod(people, world)
nsubj(world, that)
cop(world, be)
nmod:poss(world, Lord)
case(Lord, 's)
acl:relcl(world, world)
punct(hate, .)
nsubj(way, this)
punct(sure, ,)
nsubj(sure, he)
cop(sure, be)
parataxis(way, sure)
punct(way, ,)
cop(way, be)
det(way, the)
root(ROOT, way)
nsubj(act, they)
aux(act, would)
acl:relcl(way, act)
punct(way, ;)
punct(way, ;)
advcl(way, laugh)
case(man, at)
det(man, a)
amod(man, die)
obl(laugh, man)
punct(laugh, ,)
conj(laugh, laugh)
mark(beaten, as)
det(man, a)
nsubj:pass(beaten, man)
aux:pass(beaten, be)
advcl(laugh, beaten)
case(death, to)
obl(beaten, death)
punct(way, .)
cc(do, and)
nsubj:pass(do, nothing)
aux(do, would)
aux:pass(do, be)
root(ROOT, do)
case(it, about)
obl(do, it)
punct(do, .)
root(ROOT, nothing)
mark(Donna, unless)
parataxis(nothing, Donna)
punct(nothing, !)
punct(nothing, !)
vocative(wife, Donna)
punct(wife, ,)
nmod:poss(wife, he)
amod(wife, young)
root(ROOT, wife)
punct(wife, ,)
det(girl, the)
appos(wife, girl)
nsubj(daughter, who)
cop(daughter, be)
det(daughter, both)
acl:relcl(girl, daughter)
cc(wife, and)
conj(daughter, wife)
case(he, to)
nmod(daughter, he)
punct(girl, .)
nsubj(be, Donna)
root(ROOT, be)
mark(be, like)
nsubj(be, he)
advcl(be, be)
punct(be, .)
nsubj(live, she)
root(ROOT, live)
case(rule, by)
det(rule, the)
obl(live, rule)
punct(live, ,)
advmod(compromise, never)
advcl(live, compromise)
punct(blinded, ,)
advmod(blinded, never)
conj(compromise, blinded)
cc(divert, or)
conj(blinded, divert)
case(circumstance, by)
obl(blinded, circumstance)
punct(live, .)
cc(house, and)
nsubj(would, Donna)
root(ROOT, would)
punct(would, --)
mark(regain, when)
nsubj(regain, he)
advcl(house, regain)
obj(regain, consciousness)
nsubj(house, he)
cop(house, be)
case(house, in)
nmod:poss(house, Lord)
case(Lord, 's)
ccomp(would, house)
punct(house, ,)
case(office, in)
det(office, the)
obl(house, office)
case(Doctor, of)
nmod(office, Doctor)
flat(Doctor, Lord)
punct(Doctor, ,)
det(deputy, the)
nmod:poss(father, deputy)
case(deputy, 's)
amod(father, decease)
appos(Doctor, father)
punct(house, .)
det(outfit, the)
compound(outfit, Brannon)
nsubj(reach, outfit)
punct(outfit, --)
acl(outfit, know)
case(B, as)
det(B, the)
compound(B, slash)
punct(B, -)
obl(know, B)
case(brand, because)
fixed(because, of)
nmod:poss(brand, its)
obl(know, brand)
punct(reach, --)
root(ROOT, reach)
compound(Creek, Hondo)
obj(reach, Creek)
case(sundown, before)
obl(reach, sundown)
punct(reach, .)
det(herd, the)
nsubj:pass(water, herd)
aux:pass(water, be)
root(ROOT, water)
cc(throw, and)
advmod(throw, then)
conj(water, throw)
case(flat, onto)
det(flat, a)
amod(flat, broad)
compound(flat, grass)
obl(throw, flat)
nsubj(be, which)
acl:relcl(flat, be)
mark(bedground, to)
cop(bedground, be)
det(night, the)
amod(night, first)
nmod:poss(bedground, night)
case(night, 's)
xcomp(be, bedground)
punct(water, .)
nsubj:pass(pick, two)
case(hand, of)
det(hand, the)
amod(hand, new)
nmod(two, hand)
punct(pick, ,)
det(mexican, a)
appos(two, mexican)
acl(mexican, name)
xcomp(name, Jose)
flat(Jose, Amado)
cc(kid, and)
det(kid, a)
conj(Jose, kid)
acl(kid, know)
advmod(know, only)
case(Laredo, as)
obl(know, Laredo)
punct(pick, ,)
aux:pass(pick, be)
root(ROOT, pick)
case(trick, for)
det(trick, the)
amod(trick, first)
obl(pick, trick)
case(herd, of)
compound(night, riding)
compound(herd, night)
nmod(trick, herd)
punct(pick, .)
det(rest, the)
nsubj(offsaddle, rest)
case(crew, of)
det(crew, the)
nmod(rest, crew)
root(ROOT, offsaddle)
nmod:poss(mount, they)
obj(offsaddle, mount)
cc(turn, and)
conj(offsaddle, turn)
obj(turn, they)
case(remuda, into)
det(remuda, the)
obl(turn, remuda)
punct(offsaddle, .)
nsubj(get, they)
root(ROOT, get)
compound(cup, tin)
obj(get, cup)
case(coffee, of)
nmod(cup, coffee)
case(pot, from)
det(pot, the)
amod(pot, big)
nmod(cup, pot)
case(fire, on)
det(coosie, the)
nmod:poss(fire, coosie)
case(coosie, 's)
nmod(pot, fire)
punct(roll, ,)
conj(fire, roll)
cc(light, and)
conj(get, light)
amod(paper, brown)
punct(paper, -)
compound(cigarett, paper)
obj(light, cigarett)
punct(lounge, ,)
conj(get, lounge)
obl(lounge, about)
punct(get, .)
expl(be, there)
root(ROOT, be)
det(talk, some)
amod(talk, idle)
nsubj(be, talk)
punct(talk, ,)
det(discussion, a)
amod(discussion, listless)
conj(talk, discussion)
case(this, of)
nmod(discussion, this)
cc(happen, or)
det(happen, that)
amod(happen, small)
conj(talk, happen)
case(drive, during)
det(day, the)
nmod:poss(drive, day)
case(day, 's)
nmod(happen, drive)
punct(be, .)
cc(avoid, but)
nsubj(avoid, they)
advmod(avoid, deliberately)
root(ROOT, avoid)
det(subject, the)
nummod(subject, one)
obj(avoid, subject)
nsubj(have, that)
acl:relcl(subject, have)
obj(have, they)
advmod(curious, all)
xcomp(have, curious)
punct(curious, :)
det(failure, the)
appos(curious, failure)
case(wife, of)
det(boss, the)
nmod:poss(wife, boss)
case(boss, 's)
nmod(failure, wife)
cc(son, and)
conj(wife, son)
mark(join, to)
acl(failure, join)
det(outfit, the)
obj(join, outfit)
punct(avoid, .)
nsubj(bother, it)
advmod(bother, especially)
root(ROOT, bother)
det(hand, the)
amod(hand, older)
obj(bother, hand)
punct(bother, .)
det(cook, the)
nsubj(arrive, cook)
punct(cook, ,)
appos(cook, mateo)
flat(mateo, Garcia)
punct(arrive, ,)
aux(arrive, have)
root(ROOT, arrive)
advmod(arrive, there)
advmod(arrive, long)
case(herd, before)
det(herd, the)
obl(arrive, herd)
punct(arrive, .)
nsubj(start, he)
aux(start, would)
root(ROOT, start)
det(fire, a)
obj(start, fire)
cc(put, and)
conj(start, put)
obj(put, coffee)
advmod(put, on)
punct(busy, ,)
cc(busy, and)
advmod(busy, now)
cop(busy, be)
conj(start, busy)
case(board, at)
det(board, the)
compound(board, work)
obl(busy, board)
case(wagon, of)
nmod:poss(wagon, he)
compound(wagon, chuck)
nmod(board, wagon)
punct(start, .)
nsubj(ready, he)
aux(ready, be)
root(ROOT, ready)
det(batch, a)
obj(ready, batch)
case(biscuit, of)
compound(biscuit, sourdough)
nmod(batch, biscuit)
case(oven, for)
det(oven, the)
compound(oven, dutch)
obl(ready, oven)
punct(ready, .)
nsubj(ready, Supper)
aux(ready, would)
cop(ready, be)
parataxis(ready, ready)
case(hour, within)
det(hour, the)
obl(ready, hour)
punct(ready, .)
det(Maguire, the)
nsubj(set, Maguire)
flat(Maguire, family)
aux(set, be)
parataxis(ready, set)
compound:prt(set, up)
det(camp, a)
amod(camp, separate)
obj(set, camp)
advmod(set, nearby)
punct(ready, .)
nsubj(unhitch, Billie)
aux(unhitch, have)
root(ROOT, unhitch)
det(mule, the)
obj(unhitch, mule)
case(wagon, from)
cc:preconj(Tom, both)
nmod:poss(wagon, Tom)
flat(Tom, Brannon)
case(Tom, 's)
cc(father, and)
nmod:poss(father, he)
nmod:poss(wagon, father)
case(father, 's)
obl(unhitch, wagon)
punct(unhitch, .)
nsubj(gather, Hank)
aux(gather, have)
root(ROOT, gather)
obj(gather, wood)
case(cookfire, for)
det(cookfire, a)
obl(gather, cookfire)
punct(busy, ,)
cc(busy, and)
nmod:poss(wife, he)
nsubj(busy, wife)
cop(busy, be)
conj(gather, busy)
case(it, at)
obl(busy, it)
advmod(busy, now)
punct(gather, .)
nsubj(keep, Conchita)
root(ROOT, keep)
det(eye, a)
obj(keep, eye)
case(twin, on)
det(twin, the)
obl(keep, twin)
cc(Elena, and)
amod(Elena, little)
conj(twin, Elena)
punct(keep, ,)
advcl(keep, try)
mark(keep, to)
xcomp(try, keep)
obj(keep, they)
mark(fall, from)
advcl(keep, fall)
case(creek, into)
det(creek, the)
obl(fall, creek)
case(which, by)
obl(persist, which)
nsubj(persist, they)
acl:relcl(creek, persist)
mark(play, in)
advcl(persist, play)
punct(keep, .)
nsubj(nag, Conchita)
root(ROOT, nag)
case(child, at)
det(child, the)
amod(child, younger)
obl(nag, child)
punct(nag, ,)
advcl(nag, attempt)
case(success, without)
obl(attempt, success)
mark(keep, to)
acl(success, keep)
nmod:poss(thought, she)
obj(keep, thought)
compound:prt(keep, off)
root(ROOT, Tom)
flat(Tom, Brannon)
punct(Tom, . )
nsubj(catch, Tom)
flat(Tom, Brannon)
aux(catch, have)
root(ROOT, catch)
compound:prt(catch, up)
case(outfit, with)
det(outfit, the)
obl(catch, outfit)
advmod(catch, shortly)
mark(join, after)
det(Maguires, the)
nsubj(join, Maguires)
advcl(catch, join)
obj(join, it)
punct(join, ,)
nsubj(midday, which)
aux(midday, have)
cop(midday, be)
case(midday, at)
conj(join, midday)
punct(catch, .)
nsubj(come, he)
aux(come, would)
root(ROOT, come)
advmod(come, alone)
punct(come, ,)
case(wife, without)
nmod:poss(wife, he)
obl(come, wife)
cc(child, and)
conj(wife, child)
punct(come, .)
nsubj(mood, he)
aux(mood, would)
cop(mood, be)
case(mood, in)
det(mood, a)
amod(mood, angry)
root(ROOT, mood)
punct(mood, :)
nsubj(think, Conchita)
aux(think, have)
root(ROOT, think)
nmod:poss(face, he)
obj(think, face)
advmod(ugly, almost)
xcomp(think, ugly)
case(anger, with)
det(anger, the)
obl(ugly, anger)
case(he, in)
nmod(anger, he)
punct(think, .)
nsubj(wonder, she)
root(ROOT, wonder)
nsubj(take, what)
aux(take, have)
ccomp(wonder, take)
obj(take, place)
case(town, in)
obl(take, town)
punct(take, ,)
case(he, between)
obl(take, he)
cc(wife, and)
nmod:poss(wife, he)
conj(he, wife)
punct(wonder, .)
nsubj(wish, she)
root(ROOT, wish)
mark(talk, that)
nsubj(talk, she)
aux(talk, could)
ccomp(wish, talk)
case(mother, to)
nmod:poss(mother, she)
obl(talk, mother)
case(it, about)
obl(talk, it)
punct(wish, .)
conj(wish, not)
mark(know, that)
nmod:poss(mother, she)
nsubj(know, mother)
ccomp(not, know)
nsubj(happen, what)
aux(happen, have)
ccomp(know, happen)
punct(speculate, ,)
cc(speculate, but)
nsubj(speculate, they)
aux(speculate, could)
conj(know, speculate)
case(it, upon)
obl(speculate, it)
punct(wish, .)
cc(say, but)
nmod:poss(mother, she)
nsubj(rebuke, mother)
aux(rebuke, would)
root(ROOT, rebuke)
obj(rebuke, she)
mark(mention, if)
nsubj(mention, she)
advcl(rebuke, mention)
obj(mention, it)
punct(say, ,)
cc(say, and)
conj(rebuke, say)
mark(none, that)
nsubj(none, it)
cop(none, be)
ccomp(say, none)
case(concern, of)
nmod:poss(concern, she)
nmod(none, concern)
punct(rebuke, .)
punct(rebuke, ``)
vocative(get, Pat)
punct(get, ,)
root(ROOT, get)
case(creek, out)
case(creek, of)
det(creek, that)
obl(get, creek)
punct(get, !)
punct(get, !)
nsubj(Sean, you)
advmod(Sean, too)
punct(Sean, ,)
root(ROOT, Sean)
punct(Sean, !)
punct(Sean, !)
vocative(get, Elena)
punct(get, ,)
nsubj(get, you)
aux(get, will)
root(ROOT, get)
obj(get, mud)
advmod(dress, all)
case(dress, over)
nmod:poss(dress, you)
obl(get, dress)
punct(get, '')
punct(get, !)
punct(get, !)
advmod(call, even)
mark(call, as)
nsubj(call, she)
advcl(let, call)
case(child, to)
det(child, the)
obl(call, child)
punct(let, ,)
nsubj(let, Conchita)
root(ROOT, let)
nmod:poss(gaze, she)
obj(let, gaze)
xcomp(let, seek)
obj(seek, Tom)
flat(Tom, Brannon)
punct(Tom, .)
appos(Tom, Tomas)
punct(call, ,)
nsubj(call, she)
parataxis(let, call)
obj(call, he)
punct(call, --)
mark(do, as)
det(hand, the)
amod(hand, mexican)
nsubj(do, hand)
advcl(call, do)
punct(let, .)
nsubj(conversation, he)
cop(conversation, be)
case(conversation, in)
amod(conversation, earnest)
root(ROOT, conversation)
case(father, with)
nmod:poss(father, she)
nmod(conversation, father)
cc(vaquero, and)
det(vaquero, the)
amod(vaquero, old)
conj(father, vaquero)
punct(vaquero, ,)
appos(father, Luis)
flat(Luis, Hernandez)
punct(conversation, .)
obl(talk, whatever)
nsubj(talk, they)
aux(talk, be)
acl:relcl(conversation, talk)
obl(talk, about)
punct(conversation, ?)
punct(conversation, ?)
nsubj(wonder, Conchita)
root(ROOT, wonder)
punct(wonder, .)
nsubj(bother, it)
root(ROOT, bother)
obj(bother, she)
mark(know, that)
nsubj(know, she)
advmod(know, probably)
aux(know, would)
advmod(know, never)
ccomp(bother, know)
punct(bother, .)
advmod(dare, certainly)
punct(dare, ,)
nsubj(dare, she)
aux(dare, would)
advmod(dare, not)
root(ROOT, dare)
xcomp(dare, ask)
nmod:poss(father, she)
obj(ask, father)
advmod(ask, afterward)
punct(dare, .)
nsubj(tell, he)
aux(tell, would)
root(ROOT, tell)
obj(tell, she)
advmod(pry, not)
mark(pry, to)
xcomp(tell, pry)
case(affair, into)
nmod:poss(affair, grownup)
case(grownup, 's)
obl(pry, affair)
punct(tell, --)
mark(kid, as)
mark(kid, though)
nsubj(kid, she)
cop(kid, be)
det(kid, a)
amod(kid, little)
advcl(pry, kid)
case(Elena, like)
nmod(kid, Elena)
punct(tell, !)
punct(tell, !)
case(moment, at)
det(moment, the)
obl(say, moment)
punct(say, ,)
det(man, the)
nummod(man, three)
nsubj(say, man)
aux(say, be)
advmod(say, not)
root(ROOT, say)
obj(say, much)
case(anything, of)
obl(much, anything)
punct(say, .)
nsubj(sit, they)
aux(sit, be)
root(ROOT, sit)
case(heel, on)
nmod:poss(heel, they)
obl(sit, heel)
punct(fashion, ,)
compound(fashion, rider)
punct(fashion, -)
conj(heel, fashion)
punct(heel, ,)
advmod(sit, over)
case(wagon, by)
det(wagon, the)
advmod(empty, still)
amod(wagon, empty)
compound(wagon, calf)
obl(sit, wagon)
punct(sit, .)
nsubj:pass(hunker, Brannon)
aux:pass(hunker, be)
root(ROOT, hunker)
compound:prt(hunker, down)
case(back, with)
nmod:poss(back, he)
amod(back, broad)
obl(hunker, back)
case(wheel, to)
det(wheel, the)
amod(wheel, left)
compound(wheel, rear)
obl(hunker, wheel)
punct(hunker, ,)
case(two, with)
det(two, the)
amod(two, other)
nsubj(face, two)
advcl(hunker, face)
obj(face, he)
punct(hunker, .)
nsubj(hold, he)
root(ROOT, hold)
det(cigarette, a)
obj(hold, cigarette)
case(hand, in)
nmod:poss(hand, he)
amod(hand, right)
obl(hold, hand)
punct(hold, .)
nsubj(burn, it)
aux(burn, be)
root(ROOT, burn)
advmod(burn, away)
punct(burn, ,)
parataxis(burn, forget)
punct(burn, .)
nmod:poss(face, he)
nsubj:pass(cloud, face)
aux:pass(cloud, be)
root(ROOT, cloud)
case(unhappiness, with)
obl(cloud, unhappiness)
punct(cloud, .)
nsubj(tell, he)
aux(tell, would)
root(ROOT, tell)
obj(tell, Hank)
flat(Hank, Maguire)
cc(Luis, and)
conj(Hank, Luis)
flat(Luis, Hernandez)
case(refusal, about)
nmod:poss(wife, he)
nmod:poss(refusal, wife)
case(wife, 's)
obl(tell, refusal)
mark(come, to)
acl(refusal, come)
case(he, with)
obl(come, he)
cc(what, and)
case(what, about)
conj(come, what)
nsubj(intend, he)
advmod(intend, now)
acl:relcl(what, intend)
mark(do, to)
xcomp(intend, do)
punct(tell, .)
nsubj(consider, they)
aux(consider, be)
root(ROOT, consider)
obj(consider, it)
advmod(consider, gravely)
punct(consider, ,)
advmod(seem, neither)
advcl(consider, seem)
mark(like, to)
xcomp(seem, like)
obj(plan, what)
nsubj(plan, he)
ccomp(like, plan)
punct(consider, .)
advmod(say, finally)
nsubj(say, Hernandez)
root(ROOT, say)
punct(say, ,)
punct(say, ``)
nsubj(offer, I)
aux(offer, could)
root(ROOT, offer)
iobj(offer, you)
obj(offer, advice)
punct(advice, ,)
appos(advice, Tomas)
punct(heed, ,)
cc(heed, but)
nsubj(heed, you)
aux(heed, would)
advmod(heed, not)
conj(offer, heed)
obj(heed, it)
punct(offer, '')
punct(offer, .)
punct(offer, ``)
root(ROOT, let)
obj(let, 's)
xcomp(let, hear)
obj(hear, it)
punct(let, ,)
advmod(hear, anyway)
punct(let, '')
punct(let, .)
punct(let, ``)
root(ROOT, wait)
det(while, a)
amod(while, little)
obj(wait, while)
punct(wait, .)
parataxis(wait, let)
obj(let, Senora)
flat(Senora, Brannon)
xcomp(let, live)
case(house, in)
nmod:poss(father, she)
nmod:poss(house, father)
case(father, 's)
obl(live, house)
case(time, for)
det(time, a)
obl(live, time)
punct(wait, .)
root(ROOT, give)
nmod:poss(time, she)
obj(give, time)
mark(miss, to)
acl(time, miss)
obj(miss, you)
punct(give, .)
advmod(come, maybe)
nsubj(come, she)
aux(come, will)
advmod(come, then)
root(ROOT, come)
case(you, to)
obl(come, you)
punct(come, .)
advmod(all, after)
obl(want, all)
punct(want, ,)
nsubj(want, you)
root(ROOT, want)
det(senora, the)
obj(want, senora)
advmod(much, as)
advmod(want, much)
mark(want, as)
nsubj(want, you)
advcl(as, want)
det(boy, the)
obj(want, boy)
punct(want, .)
nsubj(need, you)
root(ROOT, need)
obj(need, she)
advmod(more, even)
obj(need, more)
mark(need, than)
nsubj(need, you)
advcl(more, need)
obj(need, he)
punct(need, '')
punct(need, .)
punct(need, ``)
nsubj(change, she)
aux(change, will)
advmod(change, not)
root(ROOT, change)
nmod:poss(mind, she)
obj(change, mind)
punct(change, '')
punct(change, ,)
nsubj(say, Brannon)
parataxis(change, say)
punct(change, .)
punct(change, ``)
nsubj(see, John)
flat(John, Clayton)
aux(see, will)
root(ROOT, see)
case(that, to)
obl(see, that)
punct(see, '')
punct(see, .)
punct(see, ``)
cc(away, but)
case(time, after)
det(time, a)
obl(away, time)
root(ROOT, away)
case(you, from)
obl(away, you)
punct(away, .)
punct(away, '')
punct(away, ``)
det(year, a)
root(ROOT, year)
punct(year, ,)
appos(year, Luis)
punct(year, ?)
punct(year, ?)
appos(year, five)
punct(year, ?)
punct(ten, ?)
appos(year, ten)
punct(ten, ?)
punct(year, ?)
advmod(long, how)
advmod(wait, long)
aux(wait, should)
nsubj(wait, I)
root(ROOT, wait)
punct(wait, '')
punct(wait, ?)
punct(wait, ?)
punct(wait, ``)
advmod(year, maybe)
case(year, in)
det(year, a)
nmod(Tomas, year)
punct(Tomas, ,)
root(ROOT, Tomas)
punct(Tomas, .)
punct(Tomas, '')
punct(year, ``)
case(year, in)
det(year, a)
obl(like, year)
nsubj(like, she)
aux(like, will)
ccomp(say, like)
xcomp(like, live)
case(house, in)
nmod:poss(house, Clayton)
case(Clayton, 's)
obl(live, house)
advmod(much, too)
advmod(live, much)
mark(come, to)
advcl(much, come)
advmod(come, back)
case(I, to)
obl(back, I)
punct(say, '')
punct(say, ,)
nsubj(say, Brannon)
root(ROOT, say)
advmod(say, flatly)
punct(say, .)
punct(say, ``)
cc(much, and)
det(boy, the)
nsubj(much, boy)
aux(much, will)
cop(much, be)
advmod(much, too)
root(ROOT, much)
case(influence, under)
nmod:poss(influence, he)
obl(much, influence)
case(then, by)
obl(much, then)
punct(much, . )
nsubj(get, I)
aux(get, have)
root(ROOT, get)
mark(take, to)
xcomp(get, take)
obj(take, Danny)
advmod(take, away)
case(Clayton, from)
obl(take, Clayton)
mark(lose, before)
nsubj(lose, I)
advcl(take, lose)
obj(lose, he)
advmod(lose, altogether)
punct(get, .)
discourse(forget, Hell)
punct(forget, ,)
case(year, in)
det(year, a)
obl(forget, year)
cc(five, or)
conj(year, five)
cc(ten, or)
conj(five, ten)
punct(forget, ,)
det(boy, the)
nsubj(forget, boy)
aux(forget, will)
aux(forget, have)
root(ROOT, forget)
obj(forget, I)
punct(forget, --)
nmod:poss(father, he)
amod(father, own)
obj(forget, father)
punct(father, '')
punct(forget, !)
punct(forget, !)
punct(forget, ``)
cc(good, but)
mark(take, to)
csubj(good, take)
obj(take, he)
cc(leave, and)
conj(take, leave)
nmod:poss(mother, he)
obj(leave, mother)
obl(leave, behind)
cop(good, be)
advmod(good, not)
root(ROOT, good)
punct(good, '')
punct(good, .)
punct(good, ``)
case(place, in)
nmod:poss(place, my)
obl(follow, place)
punct(follow, ,)
nsubj(follow, you)
aux(follow, would)
root(ROOT, follow)
amod(advice, such)
obj(follow, advice)
mark(give, as)
nsubj(give, you)
advcl(follow, give)
obj(give, I)
punct(follow, '')
punct(follow, ?)
punct(look, ?)
nsubj(look, Hernandez)
parataxis(follow, look)
advmod(uncertain, suddenly)
xcomp(look, uncertain)
punct(follow, .)
punct(follow, ``)
nsubj(answer, that)
nsubj(answer, I)
aux(answer, can)
advmod(answer, not)
root(ROOT, answer)
punct(answer, ,)
mark(imagine, for)
nsubj(imagine, I)
aux(imagine, can)
advmod(imagine, not)
advcl(answer, imagine)
obj(imagine, something)
mark(happen, like)
nsubj(happen, this)
acl(something, happen)
case(I, to)
obl(happen, I)
punct(answer, .)
advmod(withdraw, maybe)
nsubj(withdraw, I)
aux(withdraw, should)
root(ROOT, withdraw)
nmod:poss(advice, my)
obj(withdraw, advice)
punct(withdraw, --)
discourse(withdraw, no)
punct(withdraw, '')
punct(withdraw, ?)
punct(withdraw, ?)
nsubj(look, Brannon)
root(ROOT, look)
case(Hank, at)
obl(look, Hank)
flat(Hank, Maguire)
punct(look, .)
punct(look, ``)
cc(you, and)
root(ROOT, you)
punct(you, ?)
punct(and, ?)
obj(do, what)
aux(do, would)
nsubj(do, you)
root(ROOT, do)
case(place, in)
nmod:poss(place, my)
obl(do, place)
punct(do, '')
punct(do, ?)
punct(do, ?)
nsubj(shook, Hank)
root(ROOT, shook)
nmod:poss(head, he)
obj(shook, head)
punct(shook, .)
punct(shook, ``)
nsubj(know, I)
aux(know, do)
advmod(know, not)
root(ROOT, know)
punct(know, ,)
vocative(know, Tom)
punct(know, .)
case(Luis, like)
obl(see, Luis)
punct(see, ,)
nsubj(see, I)
aux(see, can)
advmod(see, not)
root(ROOT, see)
obj(see, something)
mark(happen, like)
nsubj(happen, this)
acl(something, happen)
case(I, to)
obl(happen, I)
punct(see, .)
case(Maria, with)
obl(be, Maria)
cc(I, and)
conj(Maria, I)
punct(be, ,)
expl(be, there)
root(ROOT, be)
advmod(be, never)
det(problem, any)
nsubj(be, problem)
punct(be, .)
mark(go, where)
nsubj(go, I)
advcl(go, go)
punct(go, ,)
nsubj(go, she)
root(ROOT, go)
punct(go, --)
cc(kid, and)
det(kid, the)
nsubj(go, kid)
case(we, with)
nmod(kid, we)
punct(go, .)
nsubj(go, you)
aux(go, be)
conj(go, go)
mark(need, to)
xcomp(go, need)
nmod:poss(woman, you)
obj(need, woman)
punct(go, .)
cc(need, and)
det(boy, the)
nsubj(need, boy)
aux(need, will)
root(ROOT, need)
nmod:poss(mother, he)
obj(need, mother)
punct(need, .)
mark(take, if)
nsubj(take, you)
advcl(take, take)
det(one, the)
obj(take, one)
punct(take, ,)
nsubj(take, you)
aux(take, would)
advmod(take, better)
root(ROOT, take)
obj(take, both)
punct(take, '')
punct(take, .)
nsubj(shook, Brannon)
parataxis(take, shook)
nmod:poss(head, he)
obj(shook, head)
punct(take, .)
punct(take, ``)
nsubj(force, I)
aux(force, will)
advmod(force, not)
root(ROOT, force)
obj(force, Beth)
mark(come, to)
xcomp(force, come)
case(she, against)
obl(come, she)
advcl(come, will)
punct(force, .)
cc(go, but)
nsubj(go, I)
aux(go, be)
root(ROOT, go)
mark(have, to)
xcomp(go, have)
nmod:poss(son, my)
obj(have, son)
punct(have, '')
punct(go, .)
nsubj(silent, they)
cop(silent, be)
parataxis(go, silent)
case(while, for)
det(while, a)
amod(while, little)
obl(silent, while)
punct(silent, ,)
nsubj(look, each)
advcl(silent, look)
xcomp(look, glum)
punct(go, .)
advmod(say, finally)
nsubj(say, Luis)
flat(Luis, Hernandez)
root(ROOT, say)
punct(say, ,)
punct(say, ``)
nsubj(be, what)
aux(be, must)
cop(be, be)
punct(be, ,)
aux(be, must)
root(ROOT, be)
punct(be, . )
nsubj(you, I)
cop(you, be)
case(you, with)
root(ROOT, you)
punct(Tomas, ,)
advmod(Tomas, of)
fixed(of, course)
punct(Tomas, ,)
conj(you, Tomas)
punct(Tomas, '')
punct(add, .)
cc(add, and)
nsubj(add, Hank)
flat(Hank, Maguire)
conj(Tomas, add)
punct(Tomas, ,)
punct(Tomas, ``)
root(ROOT, so)
cop(so, be)
nsubj(Tom, I)
punct(Tom, ,)
vocative(so, Tom)
punct(Tom, '')
punct(so, .)
punct(so, ``)
nsubj(say, all)
advmod(say, right)
punct(say, '')
punct(say, ,)
nsubj(say, Brannon)
root(ROOT, say)
punct(say, ,)
xcomp(say, rise)
punct(say, .)
punct(say, ``)
nsubj(ride, we)
aux(ride, will)
root(ROOT, ride)
advmod(ride, out)
advmod(soon, as)
advmod(ride, soon)
mark(have, as)
nsubj(have, we)
aux(have, have)
advcl(as, have)
obj(have, chuck)
punct(ride, '')
punct(time, .)
nsubj(time, Brannon)
parataxis(ride, time)
obj(time, it)
mark(ride, so)
fixed(so, that)
nsubj(ride, they)
advcl(time, ride)
case(hour, in)
det(hour, a)
obl(ride, hour)
case(nightfall, after)
obl(ride, nightfall)
punct(time, .)
nsubj(have, they)
root(ROOT, have)
case(cover, for)
obl(have, cover)
cc:preconj(darkness, both)
obj(have, darkness)
cc(storm, and)
det(storm, a)
compound(storm, summer)
conj(darkness, storm)
punct(darkness, .)
case(much, during)
obl(have, much)
case(ride, of)
det(ride, the)
nummod(mile, fifteen)
punct(mile, -)
compound(ride, mile)
nmod(much, ride)
nsubj(watch, they)
aux(watch, have)
acl:relcl(ride, watch)
det(display, a)
amod(display, lurid)
obj(watch, display)
mark(lightning, of)
acl(display, lightning)
case(sky, in)
det(sky, the)
obl(lightning, sky)
case(east, to)
det(east, the)
nmod(sky, east)
punct(hear, .)
advmod(hear, later)
punct(hear, ,)
nsubj(hear, they)
aux(hear, would)
parataxis(have, hear)
det(rumble, the)
obj(hear, rumble)
case(thunder, of)
nmod(rumble, thunder)
cc(then, and)
advmod(hear, then)
punct(hear, ,)
advmod(Rockfork, just)
case(Rockfork, outside)
obl(run, Rockfork)
punct(run, ,)
nsubj(run, they)
conj(hear, run)
case(rain, into)
obl(run, rain)
punct(have, .)
nsubj(don, those)
nsubj(have, who)
acl:relcl(those, have)
obj(have, slicker)
root(ROOT, don)
obj(don, they)
punct(don, .)
det(other, the)
nsubj(put, other)
root(ROOT, put)
case(coat, on)
amod(coat, old)
obl(put, coat)
cc(jacket, or)
compound(jacket, ducking)
conj(coat, jacket)
punct(coat, ,)
obj(carry, whichever)
nsubj(carry, they)
acl:relcl(coat, carry)
case(cantle, behind)
nmod:poss(cantle, they)
compound(cantle, saddle)
obl(carry, cantle)
punct(put, .)
expl(be, there)
root(ROOT, be)
nsubj(be, seven)
case(they, of)
nmod(seven, they)
punct(be, ,)
amod(seven, enough)
case(show, for)
det(show, a)
obl(enough, show)
case(strength, of)
nmod(show, strength)
punct(enough, --)
mark(run, to)
advcl(enough, run)
det(bluff, a)
obj(run, bluff)
punct(be, .)
expl(be, it)
root(ROOT, be)
mark(nothing, to)
cop(nothing, be)
xcomp(be, nothing)
amod(nothing, more)
case(that, than)
obl(more, that)
punct(be, .)
